zip,settlement,short,latitude,longitude,cleaned_settlement
1011,Budapest I. kerület,BU,47.5011,19.0469,budapest
1012,Budapest I. kerület,BU,47.5,19.0833,budapest
1013,Budapest I. kerület,BU,47.4961,19.0309,budapest
1014,Budapest I. kerület,BU,47.5034,19.0349,budapest
1015,Budapest I. kerület,BU,47.5,19.0833,budapest
1016,Budapest I. kerület,BU,47.48,19.02,budapest
1021,Budapest II. kerület,BU,47.496,19.0771,budapest
1022,Budapest II. kerület,BU,47.5,19.0833,budapest
1023,Budapest II. kerület,BU,47.521,19.0347,budapest
1024,Budapest II. kerület,BU,47.507,19.0569,budapest
1025,Budapest II. kerület,BU,47.403,19.0915,budapest
1026,Budapest II. kerület,BU,47.5117,19.0131,budapest
1027,Budapest II. kerület,BU,47.5083,19.0386,budapest
1028,Budapest II. kerület,BU,47.5,19.0833,budapest
1029,Budapest II. kerület,BU,47.5,19.0833,budapest
1031,Budapest III. kerület,BU,47.5729,19.0538,budapest
1032,Budapest III. kerület,BU,47.5,19.0833,budapest
1033,Budapest III. kerület,BU,47.5,19.0833,budapest
1034,Budapest III. kerület,BU,47.5,19.0833,budapest
1035,Budapest III. kerület,BU,47.5,19.0833,budapest
1036,Budapest III. kerület,BU,47.5328,19.0419,budapest
1037,Budapest III. kerület,BU,47.5,19.0833,budapest
1038,Budapest III. kerület,BU,47.5915,19.0486,budapest
1039,Budapest III. kerület,BU,47.5562,19.0684,budapest
1041,Budapest IV. kerület,BU,47.5,19.0833,budapest
1042,Budapest IV. kerület,BU,47.5,19.0833,budapest
1043,Budapest IV. kerület,BU,47.5,19.0833,budapest
1044,Budapest IV. kerület,BU,47.5,19.0833,budapest
1045,Budapest IV. kerület,BU,47.5,19.0833,budapest
1046,Budapest IV. kerület,BU,47.5,19.0833,budapest
1047,Budapest IV. kerület,BU,47.5,19.0833,budapest
1048,Budapest IV. kerület,BU,47.5,19.0833,budapest
1051,Budapest V. kerület,BU,47.4986,19.0499,budapest
1052,Budapest V. kerület,BU,47.4968,19.0555,budapest
1053,Budapest V. kerület,BU,47.4839,19.0597,budapest
1054,Budapest V. kerület,BU,47.5068,19.0526,budapest
1055,Budapest V. kerület,BU,47.5,19.0833,budapest
1056,Budapest V. kerület,BU,47.4926,19.0516,budapest
1061,Budapest VI. kerület,BU,47.4996,19.0574,budapest
1062,Budapest VI. kerület,BU,47.525,19.0766,budapest
1063,Budapest VI. kerület,BU,47.5102,19.0702,budapest
1064,Budapest VI. kerület,BU,47.5062,19.069,budapest
1065,Budapest VI. kerület,BU,47.4767,19.0851,budapest
1066,Budapest VI. kerület,BU,47.5075,19.0589,budapest
1067,Budapest VI. kerület,BU,47.5077,19.0602,budapest
1068,Budapest VI. kerület,BU,47.5096,19.0717,budapest
1071,Budapest VII. kerület,BU,47.5,19.0833,budapest
1072,Budapest VII. kerület,BU,47.4997,19.0716,budapest
1073,Budapest VII. kerület,BU,47.4992,19.0718,budapest
1074,Budapest VII. kerület,BU,47.4768,19.071,budapest
1075,Budapest VII. kerület,BU,47.4971,19.0566,budapest
1076,Budapest VII. kerület,BU,47.5,19.0833,budapest
1077,Budapest VII. kerület,BU,47.5007,19.0786,budapest
1078,Budapest VII. kerület,BU,47.5034,19.0821,budapest
