,feature,importance
203,age (year),45.67918903413
13,power (kW),21.421578642031115
3,clock position (km),5.705702590222793
14,drive,3.505467907623688
12,cylinder capacity (cm3),2.365371007040676
200,brand,2.1941539329882658
1,design,2.1922206290500044
7,own weight (kg),2.059920790285396
8,total weight (kg),1.5876855872243967
15,gearbox,1.4776768804327989
0,condition,1.1517504473742404
18,summer tire width,1.112328799074639
20,summer tires rim diameter,0.9129558269637874
80,reversing camera,0.6182277293679306
68,front-rear parking radar,0.4718165848216688
9,trunk (l),0.4002328331505632
34,electric rear window,0.34768618646312943
10,type of climate,0.30678832510288234
19,summer tires aspect ratio,0.2660475433898515
11,fuel,0.21280791276936298
75,start-stop/engine stop system,0.20883591093657378
16,MOT is valid (days),0.19796014155161676
204,word_count,0.15743982904501477
83,kept in garage,0.12386794259593635
101,lane keeping system,0.12227972664967815
33,esp (speed stabilizer),0.12216514160739177
71,electrically folding exterior mirrors,0.12146487172686066
260,tfidf_technical,0.12138854649080497
259,tfidf_engine,0.11407522539694306
5,number of doors,0.10473262032567501
110,distance control cruise control,0.09690200019223726
218,tfidf_sell,0.09633574264888528
288,tfidf_price,0.09033939117968116
4,shippable persons number,0.08009948477290411
232,tfidf_factory,0.07844835526172629
45,fog lamp,0.07593587963983972
81,keyless start,0.07352083683021897
149,sports chassis,0.0627461647870744
6,color,0.06148897512406492
281,tfidf_changed,0.05947526210627844
213,tfidf_exchange,0.05600762113859132
286,tfidf_condition,0.054396395244457676
233,tfidf_car,0.05390836120074233
274,tfidf_phone,0.052504420396584296
254,tfidf_Hungary,0.0520324776603291
126,steering gear,0.05041341772815331
38,isofix system,0.050261197015155516
244,tfidf_climate,0.04990448436956233
237,tfidf_rear,0.049521477197081415
263,tfidf_oil,0.047598754165622176
88,freshly serviced,0.04629492514755608
208,tfidf_internal,0.04552784810933759
283,tfidf_buying,0.04368848003701359
222,tfidf_case,0.04368107659388855
271,tfidf_beautiful,0.043579944602201263
227,tfidf_fresh,0.04298723054913009
214,tfidf_package,0.04287594623989859
234,tfidf_use,0.04235513811124551
276,tfidf_can,0.042142748925787905
42,curtain airbag,0.041771907745396776
26,electric mirror,0.04164034522380752
73,ran little,0.039304199877401746
251,tfidf_possible,0.03870162468671536
30,seat height adjustment,0.03844454597139716
205,tfidf_window,0.038332292302962936
256,tfidf_spared me,0.0377489524036148
247,tfidf_please,0.037331402613895275
207,tfidf_automatic,0.036262470272207456
24,driver airbag,0.03518195276257156
32,alloy wheels,0.03502447191259826
246,tfidf_key,0.03415873338081756
268,tfidf_personal,0.03306729323448113
225,tfidf_equipment,0.03257513210267462
262,tfidf_summer,0.0323122575975413
223,tfidf_aesthetics,0.031833538165615856
21,speaker count,0.03157417316358298
257,tfidf_View,0.03143459245612299
258,tfidf_it counts as,0.03139741235934758
17,buy_from_shop,0.03129128130500373
226,tfidf_traffic,0.029005264523236953
219,tfidf_electronic,0.028917864931933903
240,tfidf_vehicle,0.028876456179089436
243,tfidf_kilometer,0.028721250317010776
235,tfidf_ad,0.02842010157045394
291,tfidf_seat,0.028296592724162965
22,electric window in front,0.028284120549356518
277,tfidf_owner,0.028273393721426638
212,tfidf_wine,0.02807994771807058
29,side airbag,0.02722868826259244
115,electric tailgate movement,0.026837829060113234
248,tfidf_thank you,0.026803566811501617
269,tfidf_repair,0.02662473649976304
270,tfidf_service,0.026380946565733043
253,tfidf_airbag,0.02573808302145373
239,tfidf_up to,0.025544913952301466
96,leather interior,0.025525811208691452
284,tfidf_buys,0.02534058372568722
49,guaranteed mileage,0.02515793297401651
278,tfidf_winter,0.024888729295984426
220,tfidf_can be taken away,0.02469276155303873
48,multifunction steering wheel,0.024681168509902145
272,tfidf_lasts,0.02462572026453214
280,tfidf_leads,0.024435916285612785
202,city,0.024127013600465323
164,wireless phone charging,0.024076221882775348
264,tfidf_has,0.024056285536088615
79,spare wheel,0.023800343683460456
252,tfidf_can be informed,0.02372421138634692
242,tfidf_costs,0.023692440415957798
245,tfidf_government,0.02358078688236033
266,tfidf_regular,0.023574158212411867
35,asr (traction control),0.023543669737197778
289,tfidf_inquire,0.023466767036584894
265,tfidf_system,0.023209987513652757
255,tfidf_reliable,0.023188815885839993
287,tfidf_adjustable,0.023181726615614132
206,tfidf_chassis,0.023146213737908056
123,tow hook,0.022744420155212778
221,tfidf_in front,0.02231432637043318
282,tfidf_Castle,0.021769964722047928
